CONCEPT_A	CONCEPT_B	OSM_URI_A	OSM_URI_B	QUESTION	VECTOR_MEASURE	TERM_MEASURE	CORPUS	INCLUDED_POS	PAIRS_AB	PAIRS_BA	HUMAN_SIM	MACHINE_SIM_AB	MACHINE_SIM_BA	MACHINE_SIM
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	0	0	0.181818182	0	0	0
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	1	1	0.454545455	0.059450038	0.059450038	0.059450038
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	1	1	0.272727273	0.068937531	0.068937531	0.068937531
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	jcn	Irish Indep	JJ	0	0	0.090909091	0	0	0
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	3	6	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	13	6	0.818181818	0.358901415	0.121411364	0.24015639
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	4	6	0.636363636	0.264426322	0.116723536	0.190574929
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	1	6	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	4	6	0.181818182	0.20130807	0.09474555	0.14802681
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	4	6	0.454545455	0.054615135	0.10641329	0.080514212
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	5	6	0.272727273	0.094567335	0.098260814	0.096414075
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lch	Irish Indep	JJ	4	6	0.090909091	0.164676681	0.121250898	0.14296379
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	3	6	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	13	6	0.818181818	0.146708207	0.055617785	0.101162996
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	4	6	0.636363636	0.08075023	0.051057441	0.065903835
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	1	6	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	4	6	0.181818182	0.124858667	0.041993299	0.083425983
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	4	6	0.454545455	0.030455835	0.041628568	0.036042202
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	5	6	0.272727273	0.05157824	0.067523299	0.059550769
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lin	Irish Indep	JJ	4	6	0.090909091	0	0	0
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	3	6	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	13	6	0.818181818	0.243099929	0.095254255	0.169177092
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	4	6	0.636363636	0.160480558	0.05551415	0.107997354
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	1	6	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	4	6	0.181818182	0.114689277	0.046227202	0.080458239
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	4	6	0.454545455	0.029558724	0.055367057	0.042462891
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	5	6	0.272727273	0.042025809	0.058545594	0.050285701
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	res	Irish Indep	JJ	4	6	0.090909091	0.158018225	0.131824917	0.144921571
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	3	6	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	13	6	0.818181818	0.497907451	0.168760711	0.333334081
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	4	6	0.636363636	0.354062923	0.162325973	0.258194448
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	1	6	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	4	6	0.181818182	0.25171462	0.114950316	0.183332468
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	4	6	0.454545455	0.07224333	0.140760439	0.106501884
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	5	6	0.272727273	0.12315918	0.137273258	0.130216219
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	wup	Irish Indep	JJ	4	6	0.090909091	0.21823955	0.157089876	0.187664713
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	0	0	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	4	1	0.818181818	9.46E-04	0.001278409	0.001112174
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	0	0	0.636363636	0	0	0
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	0	0	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	0	0	0.181818182	0	0	0
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	1	1	0.454545455	3.69E-04	3.69E-04	3.69E-04
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	1	1	0.272727273	8.38E-04	8.38E-04	8.38E-04
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	lesk	Irish Indep	JJ	0	0	0.090909091	0	0	0
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	0	0	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	4	1	0.818181818	0.133230141	0.142857143	0.138043642
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	0	0	0.636363636	0	0	0
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	0	0	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	0	0	0.181818182	0	0	0
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	1	1	0.454545455	0.142857143	0.142857143	0.142857143
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	1	1	0.272727273	0.125	0.125	0.125
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	path	Irish Indep	JJ	0	0	0.090909091	0	0	0
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	0	0	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	4	1	0.818181818	0.258319909	0.429338084	0.343828996
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	0	0	0.636363636	0	0	0
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	0	0	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	0	0	0.181818182	0	0	0
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	1	1	0.454545455	0.136983575	0.136983575	0.136983575
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	1	1	0.272727273	0.090820734	0.090820734	0.090820734
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vector	Irish Indep	JJ	0	0	0.090909091	0	0	0
sports arena	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	0	0	0.909090909	0	0	0
ball park	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	4	1	0.818181818	0.027272296	0.061182405	0.044227351
athletic field	stadium	http://wiki.openstreetmap.org/wiki/Tag:sports%3Dathletics	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	10	19	0.727272727	0	0	0
tennis court	stadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dtennis	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	0	0	0.636363636	0	0	0
theater	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	0	0	0.545454545	0	0	0
commons	stadium	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	0	0	0.181818182	0	0	0
museum	stadium	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	1	1	0.454545455	0.099376287	0.099376287	0.099376287
building	stadium	http://wiki.openstreetmap.org/wiki/Key:building	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	9	19	0.363636364	0	0	0
library	stadium	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	1	1	0.272727273	0.016069614	0.016896496	0.016483055
house	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium	A1	com	vectorp	Irish Indep	JJ	0	0	0.090909091	0	0	0
road	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.909090909	0	0	0
highway	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.818181818	0	0	0
path	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.727272727	0	0	0
railway	travelway	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.636363636	0	0	0
bridge	travelway	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.545454545	0	0	0
subway station	travelway	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.363636364	0	0	0
airport	travelway	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.227272727	0	0	0
port	travelway	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	hso	Irish Indep	JJ	0	0	0.090909091	0	0	0
road	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.909090909	0	0	0
highway	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.818181818	0	0	0
path	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.727272727	0	0	0
railway	travelway	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.636363636	0	0	0
bridge	travelway	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.545454545	0	0	0
subway station	travelway	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.363636364	0	0	0
airport	travelway	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.227272727	0	0	0
port	travelway	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	jcn	Irish Indep	JJ	0	0	0.090909091	0	0	0
road	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	lch	Irish Indep	JJ	4	21	0.909090909	0.347604911	0.104935029	0.22626997
highway	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	lch	Irish Indep	JJ	5	21	0.818181818	0.203575754	0.103306284	0.153441019
path	travelway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	lch	Irish Indep	JJ	19	21	0.727272727	0.317331906	0.142250311	0.229791108
railway	travelway	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	lch	Irish Indep	JJ	1	21	0.636363636	0.624196351	0.117278173	0.370737262
bridge	travelway	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	lch	Irish Indep	JJ	8	21	0.545454545	0.112594938	0.107108324	0.109851631
subway station	travelway	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Key:highway	A4	com	lch	Irish Indep	JJ	6	21	0.363636364	0.314119259	0.111525743	0.212822501
