id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
25	Occasional user	Male	Asia	No	3	5. very similar	1. very dissimilar	4	3	3	3	4	1. very dissimilar	5. very similar	2	3	4	3	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	no answer	2	5. very similar	3	4	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	3	4	5. very similar	1. very dissimilar	3	5. very similar	1. very dissimilar	2	3	2	4	5. very similar	3	1. very dissimilar	5. very similar	3	4	2	3	1. very dissimilar	26-35
26	Frequent user	Male	Europe	No	2	2	1. very dissimilar	2	2	2	4	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	3	3	3	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	3	3	2	3	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	4	3	1. very dissimilar	3	2	1. very dissimilar	26-35
27	Never used	Female	Europe	No	5. very similar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	no answer	2	no answer	5. very similar	no answer	3	5. very similar	3	no answer	1. very dissimilar	3	5. very similar	2	no answer	4	2	1. very dissimilar	4	no answer	1. very dissimilar	5. very similar	4	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	3	5. very similar	1. very dissimilar	1. very dissimilar	18-25
28	Occasional user	Male	Europe	Yes	4	4	1. very dissimilar	4	3	1. very dissimilar	4	4	1. very dissimilar	4	2	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	3	4	5. very similar	1. very dissimilar	2	5. very similar	1. very dissimilar	no answer	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	2	4	3	1. very dissimilar	2	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	4	2	2	4	1. very dissimilar	1. very dissimilar	36-45
29	Frequent user	Female	Europe	No	4	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	4	2	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	3	4	3	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	1. very dissimilar	2	2	5. very similar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
30	Occasional user	Male	Europe	No	3	2	1. very dissimilar	4	5. very similar	1. very dissimilar	2	2	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	2	3	4	no answer	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
31	Expert	Male	Europe	Yes	3	5. very similar	1. very dissimilar	3	2	3	5. very similar	5. very similar	1. very dissimilar	3	1. very dissimilar	2	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	3	1. very dissimilar	5. very similar	4	3	1. very dissimilar	5. very similar	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
32	Expert	Male	Europe	Yes	4	3	3	4	4	2	5. very similar	4	2	3	2	2	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	4	4	5. very similar	4	1. very dissimilar	3	5. very similar	3	1. very dissimilar	3	2	2	5. very similar	1. very dissimilar	2	4	5. very similar	4	3	2	3	5. very similar	3	2	5. very similar	4	2	5. very similar	2	2	26-35
33	Expert	Male	Europe	Yes	3	5. very similar	1. very dissimilar	4	4	2	5. very similar	5. very similar	1. very dissimilar	4	2	2	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	3	3	5. very similar	2	1. very dissimilar	3	5. very similar	2	1. very dissimilar	3	2	3	2	1. very dissimilar	2	5. very similar	4	2	4	1. very dissimilar	2	4	3	2	5. very similar	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
34	Occasional user	Female	Europe	No	4	no answer	no answer	5. very similar	no answer	no answer	4	4	no answer	no answer	3	no answer	4	4	2	no answer	no answer	no answer	4	no answer	4	4	5. very similar	no answer	1. very dissimilar	no answer	no answer	3	3	4	2	no answer	5. very similar	no answer	3	5. very similar	no answer	3	no answer	no answer	4	no answer	4	no answer	4	5. very similar	4	no answer	2	2	26-35
35	Frequent user	Male	Europe	No	4	no answer	2	4	1. very dissimilar	3	5. very similar	4	1. very dissimilar	4	3	4	4	3	2	no answer	1. very dissimilar	3	4	1. very dissimilar	2	4	3	no answer	1. very dissimilar	2	5. very similar	3	1. very dissimilar	1. very dissimilar	3	4	4	1. very dissimilar	3	5. very similar	2	2	3	3	no answer	4	4	1. very dissimilar	5. very similar	4	4	3	no answer	1. very dissimilar	26-35
36	Frequent user	Male	Europe	Yes	5. very similar	4	1. very dissimilar	3	3	3	4	4	1. very dissimilar	3	1. very dissimilar	3	3	1. very dissimilar	2	2	1. very dissimilar	4	2	1. very dissimilar	2	4	4	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	3	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	3	2	4	4	3	2	4	4	3	4	1. very dissimilar	1. very dissimilar	36-45
37	Frequent user	Male	Europe	No	4	2	1. very dissimilar	3	4	2	3	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	1. very dissimilar	2	4	2	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	1. very dissimilar	2	5. very similar	3	2	3	1. very dissimilar	3	5. very similar	3	1. very dissimilar	5. very similar	2	4	4	1. very dissimilar	1. very dissimilar	26-35
38	Occasional user	Female	North America	Yes	2	2	1. very dissimilar	3	4	2	4	5. very similar	4	4	2	2	3	2	2	3	1. very dissimilar	3	4	1. very dissimilar	3	2	3	3	2	2	5. very similar	3	1. very dissimilar	2	1. very dissimilar	2	3	1. very dissimilar	2	5. very similar	5. very similar	2	2	2	2	4	3	4	5. very similar	5. very similar	3	5. very similar	1. very dissimilar	1. very dissimilar	26-35
39	Occasional user	Male	Europe	No	4	4	1. very dissimilar	4	4	1. very dissimilar	5. very similar	4	1. very dissimilar	3	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	4	2	4	4	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	2	2	1. very dissimilar	4	2	1. very dissimilar	5. very similar	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
40	Occasional user	Female	Europe	No	3	4	1. very dissimilar	3	no answer	1. very dissimilar	3	5. very similar	no answer	no answer	2	2	2	1. very dissimilar	no answer	no answer	2	no answer	4	no answer	2	4	4	no answer	no answer	3	5. very similar	1. very dissimilar	1. very dissimilar	2	2	2	3	1. very dissimilar	2	4	3	1. very dissimilar	2	4	no answer	3	2	2	3	3	3	4	2	1. very dissimilar	26-35
41	Occasional user	Female	Europe	No	5. very similar	2	3	3	3	1. very dissimilar	4	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	3	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	4	2	3	3	1. very dissimilar	3	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	4	3	2	3	2	3	4	4	1. very dissimilar	5. very similar	4	1. very dissimilar	4	no answer	1. very dissimilar	26-35
42	Occasional user	Male	Asia	No	4	3	3	4	3	3	5. very similar	4	1. very dissimilar	1. very dissimilar	4	2	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	no answer	4	1. very dissimilar	1. very dissimilar	4	4	4	1. very dissimilar	2	5. very similar	2	1. very dissimilar	2	3	3	4	1. very dissimilar	3	4	4	1. very dissimilar	no answer	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	5. very similar	4	3	4	1. very dissimilar	1. very dissimilar	26-35
43	Expert	Male	North America	Yes	3	2	1. very dissimilar	4	3	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	3	4	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	5. very similar	2	4	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	2	3	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	2	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	36-45
44	Frequent user	Male	Europe	Yes	2	5. very similar	1. very dissimilar	4	3	1. very dissimilar	4	5. very similar	1. very dissimilar	4	2	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	1. very dissimilar	4	3	5. very similar	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
45	Occasional user	Male	North America	Yes	3	4	2	5. very similar	3	2	4	4	1. very dissimilar	4	3	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	2	4	4	2	2	3	3	3	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	3	3	3	1. very dissimilar	2	5. very similar	4	2	3	2	3	4	4	1. very dissimilar	5. very similar	4	3	4	1. very dissimilar	1. very dissimilar	26-35
46	Expert	Male	North America	Yes	4	2	2	4	4	1. very dissimilar	5. very similar	4	2	2	2	3	4	4	1. very dissimilar	1. very dissimilar	2	4	3	1. very dissimilar	3	3	3	4	2	3	4	2	1. very dissimilar	2	2	2	4	1. very dissimilar	1. very dissimilar	4	4	2	1. very dissimilar	2	2	4	3	2	5. very similar	4	2	3	1. very dissimilar	2	26-35
47	Expert	Male	Europe	No	5. very similar	2	3	5. very similar	3	1. very dissimilar	5. very similar	3	2	4	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	4	4	3	1. very dissimilar	4	5. very similar	2	1. very dissimilar	2	2	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	4	3	2	1. very dissimilar	2	4	4	2	5. very similar	3	1. very dissimilar	5. very similar	1. very dissimilar	2	26-35
48	Never used	Female	Europe	Yes	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
49	Frequent user	Male	Europe	Yes	5. very similar	4	4	4	4	no answer	4	4	3	3	3	4	2	3	2	4	3	5. very similar	5. very similar	2	4	5. very similar	5. very similar	5. very similar	2	4	4	2	no answer	2	2	4	3	4	no answer	4	4	4	2	4	4	5. very similar	2	2	5. very similar	3	2	2	4	2	46-55
50	Expert	Male	Europe	No	5. very similar	3	1. very dissimilar	4	2	1. very dissimilar	3	5. very similar	1. very dissimilar	5. very similar	3	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	2	1. very dissimilar	5. very similar	5. very similar	4	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	3	5. very similar	5. very similar	1. very dissimilar	2	1. very dissimilar	4	5. very similar	2	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
51	Never used	Male	Europe	No	5. very similar	3	2	5. very similar	1. very dissimilar	3	5. very similar	4	2	2	3	3	4	2	2	2	2	4	2	no answer	no answer	3	4	3	no answer	2	4	2	no answer	3	2	2	4	2	3	5. very similar	3	2	2	2	4	4	4	2	3	4	3	4	2	1. very dissimilar	36-45
52	Occasional user	Male	Europe	No	5. very similar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	3	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	36-45
53	Frequent user	Male	Europe	No	4	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	4	2	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	no answer	4	1. very dissimilar	2	4	5. very similar	no answer	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	4	1. very dissimilar	2	4	4	2	3	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	4	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	36-45
54	Expert	Male	Europe	Yes	4	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	2	3	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	3	2	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	36-45
55	Frequent user	Male	North America	Yes	4	2	3	3	3	2	5. very similar	4	2	3	2	2	2	2	2	1. very dissimilar	2	5. very similar	5. very similar	2	2	4	4	3	2	2	4	3	1. very dissimilar	3	3	2	4	1. very dissimilar	2	5. very similar	4	2	4	2	1. very dissimilar	4	2	3	5. very similar	5. very similar	2	5. very similar	3	3	56-65
56	Expert	Male	Europe	No	4	2	1. very dissimilar	3	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	2	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	2	2	2	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	4	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
57	Frequent user	Male	Europe	No	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	3	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	3	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
58	Frequent user	Female	Europe	No	3	3	2	5. very similar	5. very similar	2	5. very similar	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	2	4	4	3	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	3	5. very similar	3	1. very dissimilar	2	1. very dissimilar	2	5. very similar	3	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	2	1. very dissimilar	26-35
59	Expert	Male	Africa	Yes	3	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	3	2	1. very dissimilar	4	2	2	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	2	2	2	2	2	1. very dissimilar	2	4	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	4	4	2	4	1. very dissimilar	1. very dissimilar	46-55
60	Expert	Male	Europe	No	4	3	1. very dissimilar	5. very similar	2	1. very dissimilar	5. very similar	4	1. very dissimilar	2	1. very dissimilar	2	2	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	2	4	4	2	1. very dissimilar	3	5. very similar	2	1. very dissimilar	2	2	3	3	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	4	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
61	Expert	Male	Africa	Yes	2	3	1. very dissimilar	3	3	2	3	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	3	4	2	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	4	3	1. very dissimilar	3	1. very dissimilar	2	3	3	1. very dissimilar	3	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	26-35
62	Occasional user	Male	Europe	Yes	5. very similar	5. very similar	4	5. very similar	3	4	5. very similar	5. very similar	1. very dissimilar	5. very similar	2	3	4	4	3	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	4	5. very similar	5. very similar	3	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	2	4	4	1. very dissimilar	3	5. very similar	4	3	5. very similar	2	5. very similar	4	3	1. very dissimilar	5. very similar	3	4	5. very similar	2	1. very dissimilar	36-45
63	Frequent user	Male	Europe	Yes	2	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	3	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	36-45
