id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
13	Expert	Male	North America	Yes	4	4	1. very unrelated	4	2	1. very unrelated	4	5. very related	1. very unrelated	4	2	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	4	2	1. very unrelated	1. very unrelated	3	3	3	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	3	2	1. very unrelated	2	3	3	1. very unrelated	4	1. very unrelated	2	3	3	1. very unrelated	5. very related	2	1. very unrelated	4	1. very unrelated	1. very unrelated	46-55
14	Frequent user	Female	North America	Yes	5. very related	5. very related	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	5. very related	1. very unrelated	4	2	4	4	3	1. very unrelated	2	1. very unrelated	5. very related	5. very related	1. very unrelated	2	5. very related	5. very related	3	1. very unrelated	5. very related	5. very related	4	1. very unrelated	1. very unrelated	2	4	5. very related	1. very unrelated	4	4	5. very related	1. very unrelated	4	2	no answer	5. very related	4	1. very unrelated	5. very related	5. very related	3	5. very related	1. very unrelated	2	46-55
15	Occasional user	Male	Europe	Yes	5. very related	3	1. very unrelated	4	4	4	3	3	1. very unrelated	2	4	2	4	3	1. very unrelated	2	1. very unrelated	4	5. very related	2	2	5. very related	3	3	1. very unrelated	2	4	1. very unrelated	1. very unrelated	3	3	4	3	1. very unrelated	4	4	3	3	4	3	3	4	2	2	5. very related	3	3	4	1. very unrelated	1. very unrelated	18-25
16	Occasional user	Female	Europe	No	4	4	2	3	no answer	3	3	4	no answer	3	2	2	2	3	2	no answer	2	no answer	2	no answer	no answer	4	3	2	no answer	3	3	no answer	no answer	2	3	3	2	no answer	4	4	3	3	3	2	no answer	4	2	no answer	4	2	2	4	no answer	no answer	26-35
17	Occasional user	Female	Europe	No	4	5. very related	1. very unrelated	5. very related	4	5. very related	5. very related	5. very related	1. very unrelated	5. very related	5. very related	5. very related	5. very related	no answer	4	4	3	5. very related	no answer	4	5. very related	5. very related	5. very related	3	4	5. very related	5. very related	3	4	3	4	4	5. very related	1. very unrelated	5. very related	5. very related	5. very related	5. very related	5. very related	3	5. very related	5. very related	4	4	4	no answer	no answer	5. very related	no answer	1. very unrelated	26-35
18	Frequent user	Male	Europe	No	2	3	1. very unrelated	5. very related	3	2	4	4	1. very unrelated	2	4	1. very unrelated	4	4	1. very unrelated	no answer	1. very unrelated	5. very related	1. very unrelated	no answer	1. very unrelated	4	5. very related	no answer	1. very unrelated	3	5. very related	1. very unrelated	no answer	1. very unrelated	4	no answer	2	1. very unrelated	2	4	2	1. very unrelated	4	no answer	no answer	4	2	1. very unrelated	4	4	1. very unrelated	5. very related	no answer	1. very unrelated	26-35
19	Expert	Male	Europe	Yes	4	2	1. very unrelated	5. very related	3	3	3	5. very related	1. very unrelated	3	2	2	4	3	2	1. very unrelated	1. very unrelated	4	2	1. very unrelated	2	4	5. very related	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	2	3	2	1. very unrelated	3	5. very related	4	2	4	2	3	4	2	1. very unrelated	4	4	4	4	1. very unrelated	1. very unrelated	46-55
20	Occasional user	Male	Asia	No	2	3	1. very unrelated	4	5. very related	2	4	5. very related	no answer	5. very related	1. very unrelated	2	2	3	1. very unrelated	no answer	no answer	3	3	no answer	1. very unrelated	4	5. very related	3	no answer	4	5. very related	1. very unrelated	no answer	no answer	1. very unrelated	2	3	no answer	1. very unrelated	4	3	1. very unrelated	5. very related	4	2	5. very related	2	no answer	3	3	3	4	1. very unrelated	no answer	26-35
21	Expert	Male	North America	Yes	4	2	1. very unrelated	5. very related	3	1. very unrelated	5. very related	5. very related	1. very unrelated	3	2	3	3	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	2	1. very unrelated	1. very unrelated	2	2	2	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	2	1. very unrelated	2	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	3	1. very unrelated	2	4	2	1. very unrelated	4	3	1. very unrelated	4	1. very unrelated	1. very unrelated	26-35
22	Occasional user	Male	Europe	Yes	4	5. very related	1. very unrelated	5. very related	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	5. very related	3	4	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	2	4	5. very related	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	2	2	5. very related	1. very unrelated	4	5. very related	4	1. very unrelated	5. very related	4	2	5. very related	1. very unrelated	1. very unrelated	56-65
23	Frequent user	Male	Europe	No	4	5. very related	3	no answer	4	no answer	4	no answer	2	4	1. very unrelated	2	1. very unrelated	no answer	2	2	2	5. very related	5. very related	3	4	5. very related	5. very related	4	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	5. very related	2	3	4	2	1. very unrelated	no answer	3	3	2	no answer	3	4	5. very related	2	2	4	5. very related	5. very related	4	1. very unrelated	1. very unrelated	26-35
24	Expert	Male	Europe	Yes	5. very related	5. very related	1. very unrelated	4	4	4	5. very related	2	1. very unrelated	5. very related	3	2	5. very related	4	2	1. very unrelated	2	5. very related	4	1. very unrelated	2	4	5. very related	4	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	5. very related	1. very unrelated	3	5. very related	5. very related	1. very unrelated	5. very related	2	5. very related	5. very related	1. very unrelated	1. very unrelated	5. very related	4	5. very related	4	1. very unrelated	1. very unrelated	56-65
25	Frequent user	Male	Europe	Yes	5. very related	4	3	4	4	3	5. very related	2	1. very unrelated	5. very related	2	1. very unrelated	4	4	2	1. very unrelated	1. very unrelated	5. very related	no answer	1. very unrelated	2	5. very related	5. very related	2	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	2	3	3	1. very unrelated	4	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	5. very related	5. very related	2	1. very unrelated	5. very related	3	3	2	1. very unrelated	2	>65
26	Frequent user	Female	Europe	No	1. very unrelated	no answer	1. very unrelated	3	1. very unrelated	2	4	4	1. very unrelated	3	1. very unrelated	1. very unrelated	2	4	2	2	1. very unrelated	1. very unrelated	4	1. very unrelated	2	3	4	2	2	4	3	1. very unrelated	1. very unrelated	2	1. very unrelated	3	4	2	1. very unrelated	4	2	1. very unrelated	4	1. very unrelated	1. very unrelated	4	2	1. very unrelated	4	4	4	4	1. very unrelated	1. very unrelated	26-35
27	Occasional user	Male	Europe	No	3	no answer	1. very unrelated	2	2	2	4	3	1. very unrelated	2	2	1. very unrelated	2	4	2	no answer	1. very unrelated	no answer	4	3	2	3	5. very related	no answer	3	3	5. very related	1. very unrelated	no answer	2	1. very unrelated	2	4	1. very unrelated	3	5. very related	3	1. very unrelated	4	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	4	3	4	5. very related	1. very unrelated	1. very unrelated	26-35
28	Frequent user	Male	Europe	Yes	4	2	1. very unrelated	5. very related	5. very related	3	5. very related	5. very related	1. very unrelated	3	4	2	3	3	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	5. very related	4	3	1. very unrelated	4	5. very related	3	1. very unrelated	2	1. very unrelated	4	3	1. very unrelated	1. very unrelated	5. very related	4	2	3	2	1. very unrelated	5. very related	4	5. very related	5. very related	3	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	46-55
29	Frequent user	Male	Europe	No	5. very related	5. very related	1. very unrelated	4	4	5. very related	5. very related	5. very related	1. very unrelated	5. very related	2	1. very unrelated	5. very related	5. very related	2	1. very unrelated	1. very unrelated	4	4	1. very unrelated	4	5. very related	5. very related	5. very related	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	2	1. very unrelated	4	5. very related	2	2	5. very related	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	26-35
30	Frequent user	Male	Europe	No	3	2	1. very unrelated	3	1. very unrelated	2	3	4	1. very unrelated	4	1. very unrelated	2	2	4	1. very unrelated	2	1. very unrelated	no answer	3	no answer	2	3	3	1. very unrelated	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	2	1. very unrelated	2	4	2	2	3	1. very unrelated	3	4	2	1. very unrelated	3	3	2	3	1. very unrelated	1. very unrelated	26-35
31	Expert	Male	Europe	No	5. very related	4	2	3	5. very related	3	4	5. very related	3	2	1. very unrelated	4	5. very related	4	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	3	5. very related	3	4	1. very unrelated	4	4	1. very unrelated	1. very unrelated	1. very unrelated	2	4	4	1. very unrelated	5. very related	4	4	2	5. very related	1. very unrelated	4	5. very related	4	1. very unrelated	4	4	4	4	2	1. very unrelated	36-45
32	Expert	Male	Europe	No	5. very related	4	1. very unrelated	4	3	2	4	4	1. very unrelated	4	3	2	2	2	1. very unrelated	1. very unrelated	1. very unrelated	4	5. very related	no answer	2	4	4	4	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	2	4	1. very unrelated	2	5. very related	2	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	4	3	1. very unrelated	5. very related	5. very related	3	5. very related	2	1. very unrelated	26-35
33	Frequent user	Male	Europe	No	4	5. very related	4	4	4	2	5. very related	5. very related	3	4	2	4	4	3	3	2	2	5. very related	5. very related	2	2	4	4	5. very related	2	3	5. very related	2	1. very unrelated	3	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	4	4	3	5. very related	1. very unrelated	4	5. very related	4	2	4	5. very related	2	5. very related	2	3	36-45
34	Frequent user	Male	Europe	No	4	5. very related	2	5. very related	4	3	4	4	2	4	2	3	3	3	3	1. very unrelated	1. very unrelated	3	1. very unrelated	3	3	5. very related	4	2	no answer	2	5. very related	1. very unrelated	1. very unrelated	3	2	2	5. very related	1. very unrelated	1. very unrelated	5. very related	4	4	2	1. very unrelated	3	5. very related	2	5. very related	4	2	2	2	2	1. very unrelated	26-35
35	Frequent user	Male	Europe	Yes	4	4	1. very unrelated	3	2	1. very unrelated	3	4	1. very unrelated	3	2	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	3	3	1. very unrelated	1. very unrelated	2	3	5. very related	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	5. very related	2	1. very unrelated	3	1. very unrelated	3	3	1. very unrelated	1. very unrelated	3	5. very related	2	2	2	1. very unrelated	26-35
36	Expert	Male	Europe	No	5. very related	5. very related	1. very unrelated	5. very related	5. very related	5. very related	3	4	1. very unrelated	4	1. very unrelated	2	3	4	2	2	1. very unrelated	4	3	no answer	2	4	5. very related	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	3	3	3	1. very unrelated	4	5. very related	2	3	4	1. very unrelated	5. very related	5. very related	3	1. very unrelated	4	4	3	5. very related	2	1. very unrelated	26-35
37	Frequent user	Female	Europe	No	4	5. very related	1. very unrelated	5. very related	5. very related	4	5. very related	5. very related	2	5. very related	3	4	4	5. very related	1. very unrelated	2	4	4	4	2	3	5. very related	5. very related	no answer	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	4	5. very related	4	3	1. very unrelated	5. very related	5. very related	5. very related	4	4	2	4	5. very related	4	5. very related	5. very related	3	1. very unrelated	5. very related	3	1. very unrelated	26-35
38	Frequent user	Male	Europe	No	4	4	1. very unrelated	4	1. very unrelated	3	5. very related	5. very related	1. very unrelated	5. very related	2	4	4	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	2	5. very related	4	4	1. very unrelated	4	5. very related	2	1. very unrelated	3	2	4	4	1. very unrelated	3	5. very related	3	2	5. very related	2	4	5. very related	3	2	5. very related	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	26-35
39	Expert	Male	North America	No	4	2	2	4	3	1. very unrelated	3	3	2	3	2	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	3	1. very unrelated	1. very unrelated	4	4	3	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	3	2	1. very unrelated	1. very unrelated	1. very unrelated	2	4	2	1. very unrelated	5. very related	3	1. very unrelated	4	1. very unrelated	1. very unrelated	26-35
40	Expert	Male	North America	Yes	1. very unrelated	2	1. very unrelated	4	1. very unrelated	1. very unrelated	3	4	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	3	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	3	1. very unrelated	2	2	2	1. very unrelated	5. very related	2	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	36-45
41	Frequent user	Male	Asia	No	4	2	1. very unrelated	3	2	3	4	5. very related	no answer	4	1. very unrelated	1. very unrelated	2	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	4	3	2	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	2	2	2	1. very unrelated	3	5. very related	2	1. very unrelated	3	1. very unrelated	no answer	4	2	1. very unrelated	2	3	1. very unrelated	2	1. very unrelated	1. very unrelated	36-45
42	Frequent user	Male	Europe	No	5. very related	3	1. very unrelated	4	4	3	4	4	1. very unrelated	3	2	1. very unrelated	3	3	1. very unrelated	1. very unrelated	1. very unrelated	3	4	1. very unrelated	3	3	4	3	1. very unrelated	4	4	2	1. very unrelated	3	2	2	4	1. very unrelated	2	5. very related	3	1. very unrelated	3	1. very unrelated	4	4	4	1. very unrelated	4	4	3	4	1. very unrelated	1. very unrelated	46-55
43	Occasional user	Male	Europe	No	5. very related	5. very related	2	3	no answer	4	4	4	no answer	no answer	no answer	1. very unrelated	4	4	1. very unrelated	3	1. very unrelated	3	2	no answer	no answer	3	4	4	no answer	2	5. very related	1. very unrelated	no answer	1. very unrelated	1. very unrelated	4	2	1. very unrelated	4	4	4	2	5. very related	no answer	2	3	1. very unrelated	1. very unrelated	4	no answer	3	5. very related	no answer	1. very unrelated	26-35
44	Expert	Male	Oceania	Yes	4	4	1. very unrelated	2	4	2	5. very related	5. very related	4	3	2	5. very related	4	3	1. very unrelated	1. very unrelated	2	5. very related	5. very related	1. very unrelated	2	4	4	3	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	4	1. very unrelated	2	4	1. very unrelated	2	5. very related	5. very related	2	3	3	4	5. very related	4	1. very unrelated	4	3	4	5. very related	2	3	26-35
45	Expert	Male	Europe	No	4	5. very related	2	4	5. very related	2	4	3	2	4	2	2	3	4	2	2	2	2	5. very related	2	2	4	4	3	2	2	4	2	1. very unrelated	2	2	4	2	1. very unrelated	3	4	2	2	4	2	4	4	4	2	4	4	5. very related	3	2	1. very unrelated	18-25
46	Expert	Male	Europe	No	4	4	1. very unrelated	4	4	2	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	3	2	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	1. very unrelated	4	5. very related	3	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	2	5. very related	1. very unrelated	2	5. very related	2	1. very unrelated	5. very related	2	4	5. very related	4	1. very unrelated	5. very related	5. very related	3	5. very related	1. very unrelated	1. very unrelated	26-35
47	Expert	Male	Europe	No	4	3	1. very unrelated	4	5. very related	1. very unrelated	5. very related	4	1. very unrelated	2	1. very unrelated	2	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	2	1. very unrelated	2	3	3	3	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	4	1. very unrelated	2	5. very related	3	1. very unrelated	5. very related	3	2	5. very related	1. very unrelated	1. very unrelated	18-25
48	Frequent user	Male	Europe	Yes	4	5. very related	3	5. very related	4	3	5. very related	4	2	4	2	4	3	3	3	2	3	5. very related	2	2	2	4	4	4	2	3	5. very related	3	1. very unrelated	4	2	3	2	3	3	3	3	2	5. very related	2	4	4	3	2	1. very unrelated	3	3	5. very related	1. very unrelated	2	56-65
49	Expert	Male	Europe	No	2	4	1. very unrelated	5. very related	3	1. very unrelated	2	3	1. very unrelated	3	1. very unrelated	1. very unrelated	3	4	1. very unrelated	1. very unrelated	1. very unrelated	3	3	1. very unrelated	1. very unrelated	4	5. very related	2	1. very unrelated	4	4	1. very unrelated	1. very unrelated	2	2	2	3	1. very unrelated	3	5. very related	2	2	3	2	3	4	3	1. very unrelated	3	4	3	5. very related	1. very unrelated	1. very unrelated	18-25
50	Expert	Male	Europe	Yes	4	2	1. very unrelated	4	4	1. very unrelated	4	3	1. very unrelated	4	2	2	3	2	1. very unrelated	1. very unrelated	1. very unrelated	4	3	1. very unrelated	2	3	3	2	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	3	4	3	1. very unrelated	2	1. very unrelated	3	4	3	1. very unrelated	4	4	1. very unrelated	4	1. very unrelated	1. very unrelated	18-25
51	Expert	Male	Europe	No	4	4	2	5. very related	4	1. very unrelated	5. very related	5. very related	no answer	4	2	3	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	4	1. very unrelated	1. very unrelated	3	5. very related	4	1. very unrelated	4	5. very related	2	no answer	2	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	4	3	2	4	1. very unrelated	2	5. very related	3	2	5. very related	3	1. very unrelated	4	1. very unrelated	1. very unrelated	26-35
52	Expert	Male	North America	Yes	4	5. very related	2	5. very related	5. very related	2	5. very related	5. very related	1. very unrelated	5. very related	4	2	3	2	1. very unrelated	1. very unrelated	2	5. very related	4	1. very unrelated	2	4	5. very related	4	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	3	3	2	5. very related	1. very unrelated	2	5. very related	5. very related	3	4	1. very unrelated	4	5. very related	4	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	18-25
53	Expert	Male	Europe	Yes	4	4	2	4	4	1. very unrelated	4	4	1. very unrelated	4	1. very unrelated	1. very unrelated	3	2	1. very unrelated	1. very unrelated	1. very unrelated	4	4	1. very unrelated	1. very unrelated	4	4	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	2	4	1. very unrelated	3	5. very related	3	1. very unrelated	4	1. very unrelated	3	5. very related	2	1. very unrelated	4	4	1. very unrelated	4	1. very unrelated	1. very unrelated	26-35
54	Frequent user	Male	Europe	No	4	4	2	5. very related	5. very related	2	5. very related	4	1. very unrelated	2	3	3	3	3	2	1. very unrelated	2	5. very related	4	1. very unrelated	3	4	4	3	1. very unrelated	4	5. very related	2	2	3	2	3	3	1. very unrelated	2	5. very related	3	2	4	2	3	4	3	1. very unrelated	4	4	2	5. very related	2	3	26-35
55	Frequent user	Male	Europe	Yes	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	56-65
56	Expert	Male	North America	Yes	4	3	1. very unrelated	4	4	3	4	4	1. very unrelated	2	3	2	2	3	2	1. very unrelated	2	3	4	1. very unrelated	no answer	5. very related	4	2	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	2	2	4	1. very unrelated	2	4	4	2	5. very related	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	2	5. very related	4	3	1. very unrelated	1. very unrelated	26-35
