TERM_ID	TERM_LABEL	OSM_KEY	OSM_VALUE	OSM_TERM_URI	WORDNET_3_SYNSET
51	lighthouse	man_made	lighthouse	http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dlighthouse	"lighthouse#n#1,man#n#1"
52	"lone, significant tree"	natural	tree	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dtree	"tree#n#1,nature#n#3"
53	managed forest	landuse	forest	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dforest	forest#n#1
54	monument	historic	monument	http://wiki.openstreetmap.org/wiki/Tag:historic%3Dmonument	"monument#n#1,history#n#3"
55	motel	tourism	motel	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmotel	"motel#n#1,tourism#n#1"
56	mountain hut	tourism	basic_hut	http://wiki.openstreetmap.org/wiki/Proposed_features/Basic_hut	"hut#n#2,tourism#n#1"
57	nursing home	amenity	nursing_home	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dnursing_home	"nursing home#n#1,amenity#n#1"
58	office building	building	office	http://wiki.openstreetmap.org/wiki/Tag:building%3Doffice	"office#n#1,building#n#1"
59	office furniture shop	furniture	office	http://wiki.openstreetmap.org/wiki/Tag:furniture%3Doffice	"furniture#n#1,shop#n#1"
60	panoramic viewpoint	tourism	viewpoint	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dviewpoint	"viewpoint#n#2,tourism#n#1"
61	picnic site	tourism	picnic_site	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dpicnic_site	"picnic#n#1,tourism#n#1"
62	police station	amenity	police	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpolice	"police station#n#1,amenity#n#1"
63	political boundary	boundary	political	http://wiki.openstreetmap.org/wiki/Tag:boundary%3Dpolitical	"boundary#n#1,politics#n#5"
64	post box	amenity	post_box	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_box	"postbox#n#1,amenity#n#1"
65	prison	amenity	prison	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dprison	"prison#n#1,amenity#n#1"
66	public transport station	public_transport	station	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	"public transport#n#1,station#n#1"
67	race track	leisure	track	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dtrack	"track#n#4,leisure#n#1"
68	railway platform	railway	platform	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dplatform	"railway#n#1,platform#n#1"
69	railway station	railway	station	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dstation	"railway station#n#1,railway#n#1"
70	restaurant	amenity	restaurant	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Drestaurant	"restaurant#n#1,amenity#n#1"
71	school	amenity	school	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool	"school#n#1,amenity#n#1"
72	school building	building	school	http://wiki.openstreetmap.org/wiki/Tag:building%3Dschool	"school#n#1,building#n#1"
73	sea	place	sea	http://wiki.openstreetmap.org/wiki/Tag:place%3Dsea	"sea#n#1,place#n#1"
74	shelter	amenity	shelter	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshelter	"shelter#n#1,amenity#n#1"
75	shooting range	sport	shooting	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dshooting	"shooting range#n#1,sport#n#1"
76	speed bump	traffic_calming	bump	http://wiki.openstreetmap.org/wiki/Key:traffic_calming	speed bump#n#1
77	stadium	building	stadium	http://wiki.openstreetmap.org/wiki/Tag:building%3Dstadium	"stadium#n#1,building#n#1"
78	stream	waterway	stream	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dstream	"stream#n#1,waterway#n#1"
79	subway	railway	subway	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dsubway	"subway#n#1,railway#n#1"
80	supermarket	shop	supermarket	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dsupermarket	"supermarket#n#1,shop#n#1"
81	surveillance camera	man_made	surveillance	http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dsurveillance	"surveillance#n#1,camera#n#1,man#n#1"
82	swimming pool	leisure	swimming_pool	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dswimming_pool	"swimming pool#n#1,leisure#n#1"
83	swimming spot	sport	swimming	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dswimming	"swimming#n#1,sport#n#1"
84	theatre	amenity	theatre	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	"theatre#n#1,amenity#n#1"
85	tomb	historic	tomb	http://wiki.openstreetmap.org/wiki/Proposed_features/tombs	"tomb#n#1,history#n#3"
86	tower	man_made	tower	http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dtower	"tower#n#1,man#n#1"
87	town	place	town	http://wiki.openstreetmap.org/wiki/Tag:place%3Dtown	"town#n#1,place#n#1"
88	town hall	amenity	townhall	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtownhall	"town hall#n#1,amenity#n#1"
89	toy shop	shop	toys	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dtoys	"toy#n#1,shop#n#1"
90	tram way	railway	tram	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dtram	"tram#n#1,railway#n#1"
91	valley	natural	valley	http://wiki.openstreetmap.org/wiki/Proposed_features/Valley	"valley#n#1,nature#n#3"
92	vending machine	amenity	vending_machine	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dvending_machine	"vending machine#n#1,amenity#n#1"
93	volleyball facility	sport	volleyball	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dvolleyball	"volleyball#n#1,sport#n#1"
94	water reservoir	landuse	reservoir	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dreservoir	reservoir#n#2
95	water ski facility	sport	water_ski	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dwater_ski	"water ski#n#1,sport#n#1"
96	wetland	natural	wetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	"wetland#n#1,nature#n#3"
97	women's clothes shop	clothes	women	http://wiki.openstreetmap.org/wiki/Tag:clothes%3Dwomen	"shop#n#1,clothes#n#1"
