PAIR_ID	TERM_A	TERM_B	RELATEDNESS	SIMILARITY	RELATEDNESS_AGREEMENT	SIMILARITY_AGREEMENT	OSM_KEY_A	OSM_VALUE_A	OSM_KEY_B	OSM_VALUE_B	OSM_URI_A	OSM_URI_B	WORDNET_A	WORDNET_B
11	canoe spot	hunting shop	0.3156	0.2354	0.612	0.571	sport	canoe	shop	hunting	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dcanoe	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dhunting	canoe#n#1	hunting#n#1
12	car store/shop	cycling facility	0.35	0.2727	0.54	0.514	shop	car	sport	cycling	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dcycling	car dealer#n#1	cycling#n#1
13	church	historic ruins	0.5494	0.5348	0.475	0.454	building	church	historic	ruins	http://wiki.openstreetmap.org/wiki/Tag:building%3Dchurch	http://wiki.openstreetmap.org/wiki/Tag:historic%3Druins	church#n#2	"ruin#n#2,historic#a#1"
14	city	railway station	0.5156	0.3279	0.353	0.263	place	city	railway	station	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dstation	city#n#1	railway station#n#1
15	city suburb	antiques furniture shop	0.1562	0.0717	0.785	0.852	place	suburb	furniture	antiques	http://wiki.openstreetmap.org/wiki/Tag:place%3Dsuburb	http://wiki.openstreetmap.org/wiki/Tag:furniture%3Dantiques	suburb#n#1	antique#n#2
16	community centre	stream	0.0737	0.0579	0.826	0.856	amenity	community_centre	waterway	stream	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcommunity_centre	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dstream	"center#n#3,community#n#1"	stream#n#1
17	fashion shop	swimming spot	0.0737	0.0847	0.891	0.816	clothes	fashion	sport	swimming	http://wiki.openstreetmap.org/wiki/Tag:clothes%3Dfashion	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dswimming	fashion#n#4	swimming#n#1
18	floodplain	wetland	0.7595	0.7686	0.461	0.541	natural	floodplain	natural	wetland	http://wiki.openstreetmap.org/wiki/Proposed_features/floodplain	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	floodplain#n#1	wetland#n#1
19	glacier	"body of water (lake, pond)"	0.5812	0.5574	0.38	0.533	natural	glacier	natural	water	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dglacier	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	glacier#n#1	water#n#2
20	greengrocer	aqueduct	0.0417	0.031	0.909	0.954	shop	greengrocer	bridge	aqueduct	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dgreengrocer	http://wiki.openstreetmap.org/wiki/Proposed_features/aqueduct	greengrocer#n#1	aqueduct#n#1
21	"heritage item,area"	valley	0.2727	0.2896	0.548	0.468	historic	heritage	natural	valley	http://wiki.openstreetmap.org/wiki/Proposed_features/heritage	http://wiki.openstreetmap.org/wiki/Proposed_features/Valley	heritage#n#1	valley#n#1
22	historic battlefield	monument	0.7407	0.668	0.568	0.446	historic	battlefield	historic	monument	http://wiki.openstreetmap.org/wiki/Tag:historic%3Dbattlefield	http://wiki.openstreetmap.org/wiki/Tag:historic%3Dmonument	battlefield#n#1	monument#n#1
23	historic castle	city walls	0.7469	0.6446	0.537	0.404	historic	castle	barrier	city_wall	http://wiki.openstreetmap.org/wiki/Tag:historic%3Dcastle	http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dcity_wall	castle#n#2	wall#n#8
24	industrial landuse	landfill	0.4906	0.4385	0.542	0.385	landuse	industrial	landuse	landfill	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dindustrial	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dlandfill	industrial park#n#1	landfill#n#1
25	interior decoration shop	tomb	0.0256	0.0504	0.961	0.918	shop	interior_decoration	historic	tomb	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dinterior_decoration	http://wiki.openstreetmap.org/wiki/Proposed_features/tombs	"shop#n#1,interior_decoration#n#1"	tomb#n#1
26	managed forest	"lone, significant tree"	0.4383	0.3992	0.39	0.532	landuse	forest	natural	tree	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dforest	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dtree	forest#n#1	tree#n#1
27	motel	hotel	0.9312	0.9037	0.863	0.818	tourism	motel	tourism	hotel	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmotel	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dhotel	motel#n#1	hotel#n#1
28	bed and breakfast	school building	0.1139	0.1393	0.746	0.793	tourism	bed_and_breakfast	building	school	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dguest_house	http://wiki.openstreetmap.org/wiki/Tag:building%3Dschool	bed and breakfast#n#1	"school#n#1,building#n#1"
29	nursing home	continent	0.0128	0.0169	0.969	0.945	amenity	nursing_home	place	continent	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dnursing_home	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcontinent	nursing home#n#1	continent#n#1
30	office building	academic bookstore	0.2848	0.2686	0.629	0.645	building	office	books	academic	http://wiki.openstreetmap.org/wiki/Tag:building%3Doffice	http://wiki.openstreetmap.org/wiki/Tag:books%3Dacademic	office#n#1	"academic#a#1,bookshop#n#1"
31	panoramic viewpoint	race track	0.1646	0.124	0.713	0.784	tourism	viewpoint	leisure	track	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dviewpoint	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dtrack	viewpoint#n#2	track#n#4
32	picnic site	stream	0.4969	0.3689	0.297	0.406	tourism	picnic_site	waterway	stream	http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dpicnic_site	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dstream	picnic#n#1	stream#n#1
33	police station	prison	0.5781	0.6107	0.361	0.462	amenity	police	amenity	prison	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpolice	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dprison	police station#n#1	prison#n#1
34	political boundary	women's clothes shop	0.0162	0.0208	0.963	0.926	boundary	political	clothes	women	http://wiki.openstreetmap.org/wiki/Tag:boundary%3Dpolitical	http://wiki.openstreetmap.org/wiki/Tag:clothes%3Dwomen	boundary#n#1	"shop#n#1,clothes#n#1"
35	post box	town	0.4719	0.2097	0.367	0.466	amenity	post_box	place	town	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_box	http://wiki.openstreetmap.org/wiki/Tag:place%3Dtown	postbox#n#1	town#n#1
36	public transport station	railway platform	0.8735	0.8115	0.801	0.715	public_transport	station	railway	platform	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dplatform	"public transport#n#1,station#n#1"	"railway#n#1,platform#n#1"
37	restaurant	beverages shop	0.6605	0.6496	0.559	0.506	amenity	restaurant	shop	beverages	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Drestaurant	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeverages	restaurant#n#1	"beverage#n#1,shop#n#1"
38	school	toy shop	0.2219	0.2172	0.578	0.601	amenity	school	shop	toys	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dtoys	school#n#1	"toy#n#1,shop#n#1"
39	sea	island	0.7406	0.3914	0.447	0.125	place	sea	place	island	http://wiki.openstreetmap.org/wiki/Tag:place%3Dsea	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	sea#n#1	island#n#1
40	shelter	agricultural field	0.1582	0.1488	0.742	0.628	amenity	shelter	landuse	field	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshelter	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dfield	shelter#n#1	field#n#1
41	speed bump	car park	0.5438	0.3893	0.296	0.29	traffic_calming	bump	amenity	parking	http://wiki.openstreetmap.org/wiki/Key:traffic_calming	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking	speed bump#n#1	parking area#n#1
42	stadium	athletics track	0.8549	0.7643	0.741	0.633	building	stadium	sport	athletics	http://wiki.openstreetmap.org/wiki/Tag:building%3Dstadium	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dathletics	stadium#n#1	athletic field#n#1
43	swimming pool	water reservoir	0.4051	0.4174	0.42	0.497	leisure	swimming_pool	landuse	reservoir	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dswimming_pool	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dreservoir	swimming pool#n#1	reservoir#n#2
44	"football,soccer, baseball pitch/field"	corporate office	0.0994	0.1086	0.769	0.731	leisure	pitch	office	company	http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch	http://wiki.openstreetmap.org/wiki/Tag:office%3Dcompany	pitch#n#7	"office#n#1,corporation#n#1"
45	theatre	cinema	0.821	0.873	0.57	0.785	amenity	theatre	amenity	cinema	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcinema	theatre#n#1	cinema#n#2
46	tower	lighthouse	0.6173	0.6168	0.437	0.441	man_made	tower	man_made	lighthouse	http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dtower	http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dlighthouse	tower#n#1	lighthouse#n#1
47	supermarket	surveillance camera	0.3656	0.2042	0.325	0.412	shop	supermarket	man_made	surveillance	http://wiki.openstreetmap.org/wiki/Tag:shop%3Dsupermarket	http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dsurveillance	supermarket#n#1	"surveillance#n#1,camera#n#1"
48	tram way	subway	0.716	0.7643	0.409	0.598	railway	tram	railway	subway	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dtram	http://wiki.openstreetmap.org/wiki/Tag:railway%3Dsubway	tram#n#1	subway#n#1
49	vending machine	gate	0.0833	0.0806	0.809	0.811	amenity	vending_machine	barrier	gate	http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dvending_machine	http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dgate	vending machine#n#1	gate#n#1
50	water ski facility	office furniture shop	0.0475	0.0517	0.924	0.883	sport	water_ski	furniture	office	http://wiki.openstreetmap.org/wiki/Tag:sport%3Dwater_ski	http://wiki.openstreetmap.org/wiki/Tag:furniture%3Doffice	water ski#n#1	"furniture#n#1,shop#n#1"
